name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
G1-G2	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G1-G9	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G2-G3	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G2-G10	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G3-G4	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G3-G11	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G4-G12	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G4-G5	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G26-G27	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G27-G28	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G7-G15	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G7-G8	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G8-G16	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G9-G10	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G10-G11	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G10-G18	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G11-G19	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G11-G12	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G12-G13	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G12-G20	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G13-G21	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G13-G14	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G14-G22	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G14-G15	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G15-G23	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G15-G16	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G16-G24	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G18-G26	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G18-G19	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G19-G27	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G19-G20	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G20-G21	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G20-G28	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G21-G22	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G21-G29	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G22-G30	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G22-G23	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G23-G31	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G23-G24	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G24-G32	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G5-G13	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G5-G6	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G6-G14	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G6-G7	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G28-G29	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G29-G30	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G30-G31	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
G31-G32	ECOG	V	n/a	n/a	bipolar	G	1000	grid	n/a
LMD1-LMD2	SEEG	V	n/a	n/a	bipolar	LMD	1000	depth	n/a
LMD2-LMD3	SEEG	V	n/a	n/a	bipolar	LMD	1000	depth	n/a
LMD3-LMD4	SEEG	V	n/a	n/a	bipolar	LMD	1000	depth	n/a
LLD1-LLD2	SEEG	V	n/a	n/a	bipolar	LLD	1000	depth	n/a
LLD2-LLD3	SEEG	V	n/a	n/a	bipolar	LLD	1000	depth	n/a
LLD3-LLD4	SEEG	V	n/a	n/a	bipolar	LLD	1000	depth	n/a
LLD4-LLD5	SEEG	V	n/a	n/a	bipolar	LLD	1000	depth	n/a
LLD5-LLD6	SEEG	V	n/a	n/a	bipolar	LLD	1000	depth	n/a
LSO1-LSO2	ECOG	V	n/a	n/a	bipolar	LSO	1000	strip	n/a
LSO2-LSO3	ECOG	V	n/a	n/a	bipolar	LSO	1000	strip	n/a
LSO3-LSO4	ECOG	V	n/a	n/a	bipolar	LSO	1000	strip	n/a
LSO4-LSO5	ECOG	V	n/a	n/a	bipolar	LSO	1000	strip	n/a
LSO5-LSO6	ECOG	V	n/a	n/a	bipolar	LSO	1000	strip	n/a
LMO1-LMO2	ECOG	V	n/a	n/a	bipolar	LMO	1000	strip	n/a
LMO2-LMO3	ECOG	V	n/a	n/a	bipolar	LMO	1000	strip	n/a
LMO3-LMO4	ECOG	V	n/a	n/a	bipolar	LMO	1000	strip	n/a
LMO4-LMO5	ECOG	V	n/a	n/a	bipolar	LMO	1000	strip	n/a
LMO5-LMO6	ECOG	V	n/a	n/a	bipolar	LMO	1000	strip	n/a
RMD1-RMD2	SEEG	V	n/a	n/a	bipolar	RMD	1000	depth	n/a
RMD2-RMD3	SEEG	V	n/a	n/a	bipolar	RMD	1000	depth	n/a
