name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
MPID7	SEEG	V	n/a	n/a	MPID	1000	depth	n/a
G2	ECOG	V	n/a	n/a	G	1000	grid	n/a
G3	ECOG	V	n/a	n/a	G	1000	grid	n/a
G4	ECOG	V	n/a	n/a	G	1000	grid	n/a
G5	ECOG	V	n/a	n/a	G	1000	grid	n/a
G6	ECOG	V	n/a	n/a	G	1000	grid	n/a
G7	ECOG	V	n/a	n/a	G	1000	grid	n/a
G8	ECOG	V	n/a	n/a	G	1000	grid	n/a
MPID8	SEEG	V	n/a	n/a	MPID	1000	depth	n/a
G10	ECOG	V	n/a	n/a	G	1000	grid	n/a
G11	ECOG	V	n/a	n/a	G	1000	grid	n/a
G12	ECOG	V	n/a	n/a	G	1000	grid	n/a
G13	ECOG	V	n/a	n/a	G	1000	grid	n/a
G14	ECOG	V	n/a	n/a	G	1000	grid	n/a
G15	ECOG	V	n/a	n/a	G	1000	grid	n/a
G16	ECOG	V	n/a	n/a	G	1000	grid	n/a
G17	ECOG	V	n/a	n/a	G	1000	grid	n/a
G18	ECOG	V	n/a	n/a	G	1000	grid	n/a
G19	ECOG	V	n/a	n/a	G	1000	grid	n/a
G20	ECOG	V	n/a	n/a	G	1000	grid	n/a
G21	ECOG	V	n/a	n/a	G	1000	grid	n/a
G22	ECOG	V	n/a	n/a	G	1000	grid	n/a
G23	ECOG	V	n/a	n/a	G	1000	grid	n/a
G24	ECOG	V	n/a	n/a	G	1000	grid	n/a
G25	ECOG	V	n/a	n/a	G	1000	grid	n/a
G26	ECOG	V	n/a	n/a	G	1000	grid	n/a
G27	ECOG	V	n/a	n/a	G	1000	grid	n/a
G28	ECOG	V	n/a	n/a	G	1000	grid	n/a
G29	ECOG	V	n/a	n/a	G	1000	grid	n/a
G30	ECOG	V	n/a	n/a	G	1000	grid	n/a
G31	ECOG	V	n/a	n/a	G	1000	grid	n/a
G32	ECOG	V	n/a	n/a	G	1000	grid	n/a
TT1	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT2	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT3	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT4	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT5	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT6	ECOG	V	n/a	n/a	TT	1000	strip	n/a
AST1	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST2	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST3	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST4	ECOG	V	n/a	n/a	AST	1000	strip	n/a
MST1	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST2	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST3	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST4	ECOG	V	n/a	n/a	MST	1000	strip	n/a
PST1	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST2	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST3	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST4	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PPST1	ECOG	V	n/a	n/a	PPST	1000	strip	n/a
PPST2	ECOG	V	n/a	n/a	PPST	1000	strip	n/a
PPST3	ECOG	V	n/a	n/a	PPST	1000	strip	n/a
PPST4	ECOG	V	n/a	n/a	PPST	1000	strip	n/a
OF1	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF2	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF3	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF4	ECOG	V	n/a	n/a	OF	1000	strip	n/a
MPID9	SEEG	V	n/a	n/a	MPID	1000	depth	n/a
MPID6	SEEG	V	n/a	n/a	MPID	1000	depth	n/a
AF1	ECOG	V	n/a	n/a	AF	1000	strip	n/a
AF2	ECOG	V	n/a	n/a	AF	1000	strip	n/a
AF3	ECOG	V	n/a	n/a	AF	1000	strip	n/a
AF4	ECOG	V	n/a	n/a	AF	1000	strip	n/a
AF5	ECOG	V	n/a	n/a	AF	1000	strip	n/a
AF6	ECOG	V	n/a	n/a	AF	1000	strip	n/a
PT1	ECOG	V	n/a	n/a	PT	1000	strip	n/a
PT2	ECOG	V	n/a	n/a	PT	1000	strip	n/a
PT3	ECOG	V	n/a	n/a	PT	1000	strip	n/a
PT4	ECOG	V	n/a	n/a	PT	1000	strip	n/a
PT5	ECOG	V	n/a	n/a	PT	1000	strip	n/a
PT6	ECOG	V	n/a	n/a	PT	1000	strip	n/a
P1	ECOG	V	n/a	n/a	P	1000	strip	n/a
P2	ECOG	V	n/a	n/a	P	1000	strip	n/a
P3	ECOG	V	n/a	n/a	P	1000	strip	n/a
P4	ECOG	V	n/a	n/a	P	1000	strip	n/a
P5	ECOG	V	n/a	n/a	P	1000	strip	n/a
P6	ECOG	V	n/a	n/a	P	1000	strip	n/a
AID1	SEEG	V	n/a	n/a	AID	1000	depth	n/a
AID2	SEEG	V	n/a	n/a	AID	1000	depth	n/a
AID3	SEEG	V	n/a	n/a	AID	1000	depth	n/a
AID4	SEEG	V	n/a	n/a	AID	1000	depth	n/a
AID5	SEEG	V	n/a	n/a	AID	1000	depth	n/a
AID6	SEEG	V	n/a	n/a	AID	1000	depth	n/a
AID7	SEEG	V	n/a	n/a	AID	1000	depth	n/a
AID8	SEEG	V	n/a	n/a	AID	1000	depth	n/a
PID1	SEEG	V	n/a	n/a	PID	1000	depth	n/a
PID2	SEEG	V	n/a	n/a	PID	1000	depth	n/a
PID3	SEEG	V	n/a	n/a	PID	1000	depth	n/a
PID4	SEEG	V	n/a	n/a	PID	1000	depth	n/a
PID5	SEEG	V	n/a	n/a	PID	1000	depth	n/a
PID6	SEEG	V	n/a	n/a	PID	1000	depth	n/a
PID7	SEEG	V	n/a	n/a	PID	1000	depth	n/a
