name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
G1	ECOG	V	n/a	n/a	G	1000	grid	n/a
G2	ECOG	V	n/a	n/a	G	1000	grid	n/a
G3	ECOG	V	n/a	n/a	G	1000	grid	n/a
G4	ECOG	V	n/a	n/a	G	1000	grid	n/a
G5	ECOG	V	n/a	n/a	G	1000	grid	n/a
IO3	ECOG	V	n/a	n/a	IO	1000	strip	n/a
G7	ECOG	V	n/a	n/a	G	1000	grid	n/a
G8	ECOG	V	n/a	n/a	G	1000	grid	n/a
G9	ECOG	V	n/a	n/a	G	1000	grid	n/a
G10	ECOG	V	n/a	n/a	G	1000	grid	n/a
G11	ECOG	V	n/a	n/a	G	1000	grid	n/a
G12	ECOG	V	n/a	n/a	G	1000	grid	n/a
G13	ECOG	V	n/a	n/a	G	1000	grid	n/a
G14	ECOG	V	n/a	n/a	G	1000	grid	n/a
G15	ECOG	V	n/a	n/a	G	1000	grid	n/a
G16	ECOG	V	n/a	n/a	G	1000	grid	n/a
G17	ECOG	V	n/a	n/a	G	1000	grid	n/a
G18	ECOG	V	n/a	n/a	G	1000	grid	n/a
G19	ECOG	V	n/a	n/a	G	1000	grid	n/a
G20	ECOG	V	n/a	n/a	G	1000	grid	n/a
G21	ECOG	V	n/a	n/a	G	1000	grid	n/a
G22	ECOG	V	n/a	n/a	G	1000	grid	n/a
G23	ECOG	V	n/a	n/a	G	1000	grid	n/a
G24	ECOG	V	n/a	n/a	G	1000	grid	n/a
G25	ECOG	V	n/a	n/a	G	1000	grid	n/a
G26	ECOG	V	n/a	n/a	G	1000	grid	n/a
G27	ECOG	V	n/a	n/a	G	1000	grid	n/a
G28	ECOG	V	n/a	n/a	G	1000	grid	n/a
G29	ECOG	V	n/a	n/a	G	1000	grid	n/a
G30	ECOG	V	n/a	n/a	G	1000	grid	n/a
G31	ECOG	V	n/a	n/a	G	1000	grid	n/a
G32	ECOG	V	n/a	n/a	G	1000	grid	n/a
TT1	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT2	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT3	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT4	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT5	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT6	ECOG	V	n/a	n/a	TT	1000	strip	n/a
OF1	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF2	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF3	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF4	ECOG	V	n/a	n/a	OF	1000	strip	n/a
AST1	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST2	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST3	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST4	ECOG	V	n/a	n/a	AST	1000	strip	n/a
MST1	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST2	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST3	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST4	ECOG	V	n/a	n/a	MST	1000	strip	n/a
PST1	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST2	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST3	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST4	ECOG	V	n/a	n/a	PST	1000	strip	n/a
IO1	ECOG	V	n/a	n/a	IO	1000	strip	n/a
IO2	ECOG	V	n/a	n/a	IO	1000	strip	n/a
G6	ECOG	V	n/a	n/a	G	1000	grid	n/a
IO4	ECOG	V	n/a	n/a	IO	1000	strip	n/a
IO5	ECOG	V	n/a	n/a	IO	1000	strip	n/a
IO6	ECOG	V	n/a	n/a	IO	1000	strip	n/a
MO1	ECOG	V	n/a	n/a	MO	1000	strip	n/a
MO2	ECOG	V	n/a	n/a	MO	1000	strip	n/a
MO3	ECOG	V	n/a	n/a	MO	1000	strip	n/a
MO4	ECOG	V	n/a	n/a	MO	1000	strip	n/a
MO5	ECOG	V	n/a	n/a	MO	1000	strip	n/a
MO6	ECOG	V	n/a	n/a	MO	1000	strip	n/a
SO1	ECOG	V	n/a	n/a	SO	1000	strip	n/a
